id,classification,Kingdom,Phylum,Class,Order,Family,Genus
24dfe6a7325e4f2be7dbd522ef613e42,Bacteria(100);Bacillota(100);Clostridia(100);Eubacteriales(100);Lachnospiraceae(100);Roseburia(100),Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Roseburia
465e9cab9abce306c1e0f7459b325c33,Bacteria(100);Bacillota(88);Clostridia(84);Eubacteriales(82);Eubacteriales_unclassified(82);Eubacteriales_unclassified(82),Bacteria,Bacillota,Clostridia,Eubacteriales,Eubacteriales_unclassified,Eubacteriales_unclassified
3e2c7eb0316409806267a8d9845b0b13,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Alloprevotella(100),Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella
136e9f5aa470119165e59d202fdb318c,Bacteria(100);Bacillota(100);Clostridia(100);Eubacteriales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100),Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnospiraceae_unclassified
b8b19c4f0719a5d5b965a0f50f05827c,Bacteria(100);Bacillota(100);Clostridia(100);Eubacteriales(100);Lachnospiraceae(100);Roseburia(100),Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Roseburia
4a5387c4bc61f2d8f3d9d2de983ba556,Bacteria(100);Bacteroidota(100);Flavobacteriia(99);Flavobacteriales(99);Weeksellaceae(89);Weeksellaceae_unclassified(89),Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Weeksellaceae_unclassified
77a517253ff10afeb78a37bc13d649a0,Bacteria(100);Bacillota(98);Clostridia(95);Eubacteriales(95);Lachnospiraceae(95);Lachnospiraceae_unclassified(95),Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnospiraceae_unclassified
07b2b1c3771f46d82c90b20a79fb3d04,Bacteria(100);Pseudomonadota(100);Betaproteobacteria(92);Neisseriales(89);Neisseriaceae(89);Neisseriaceae_unclassified(89),Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseriaceae_unclassified
30a88dc67e6a522087c3dfc8019550a6,Bacteria(100);Actinomycetota(100);Actinobacteria(100);Micrococcales(100);Micrococcaceae(99);Rothia(99),Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Micrococcaceae,Rothia
91d0b3b7c0329b9a164b6e04a181f1d6,Bacteria(100);Bacillota(100);Clostridia(100);Eubacteriales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100),Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnospiraceae_unclassified
14d168c89e381de6fc3091837a557e48,Bacteria(100);Bacillota(100);Bacilli(100);Caryophanales(100);Caryophanales_unclassified(100);Caryophanales_unclassified(100),Bacteria,Bacillota,Bacilli,Caryophanales,Caryophanales_unclassified,Caryophanales_unclassified
9616cf56be891f816aa7abc6a13c9e8f,Bacteria(100);Bacillota(100);Negativicutes(100);Selenomonadales(99);Selenomonadaceae(99);Selenomonas(92),Bacteria,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas
fea5c05e9b8245c5ca46f6673f59e0bf,Bacteria(100);Bacillota(100);Clostridia(100);Eubacteriales(100);Oscillospiraceae(100);Oscillospiraceae_unclassified(100),Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Oscillospiraceae_unclassified
